tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.002,0.564,0.008,0.155,-0.008,0.42,1.0,1.0,1.0,2.5
0.002,0.564,0.008,0.332,-0.014,0.702,1.0,1.0,1.0,2.5
0.002,0.564,0.008,0.528,-0.018,0.864,1.0,1.0,1.0,2.5
0.002,0.564,0.008,0.743,-0.022,0.928,1.0,1.0,1.0,2.5
0.002,0.564,0.008,0.975,-0.024,0.914,1.0,1.0,1.0,3.0
-0.025,0.564,0.008,2.413,0.083,0.799,1.0,1.0,1.0,8.0
-0.024,0.562,-0.081,2.087,0.08,0.771,1.0,1.0,1.0,9.0
-0.02,0.562,-0.201,-0.928,0.069,0.653,1.0,1.0,1.0,27.0
-0.004,0.561,-0.111,-0.325,0.02,0.191,1.0,1.0,1.0,10.0
-0.004,0.561,0.001,5.604,0.02,0.193,1.0,1.0,1.0,18.0
-0.004,0.561,0.001,5.604,0.02,0.193,1.0,1.0,1.0,1.0
