tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.002,0.498,0.008,0.045,0.002,0.022,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.171,0.009,0.085,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.366,0.018,0.182,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.617,0.029,0.307,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.912,0.04,0.454,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.237,0.051,0.616,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.58,0.06,0.789,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.929,0.066,0.965,1.0,1.0,1.0,14.5
0.002,0.496,-0.2,-7.394,-0.1,0.111,1.0,1.0,1.0,30.0
0.002,0.501,0.087,7.679,0.231,0.592,1.0,1.0,1.0,11.0
0.002,0.501,0.044,7.679,0.231,0.592,1.0,1.0,1.0,12.0
0.002,0.501,0.044,5.937,0.236,0.584,1.0,1.0,1.0,1.0
